" - Edit"," - Edit"
"",""
"API Quote ID","API Quote ID"
"API offer UUID","API offer UUID"
"API offer uuid","API offer uuid"
"API order uuid","API order uuid"
"API quote UUID","API quote UUID"
"Action","Action"
"Active","Active"
"Add Dimension","Add Dimension"
"Add Offer","Add Offer"
"Add Parcel","Add Parcel"
"Add Quote","Add Quote"
"Add Service","Add Service"
"Add Shipment","Add Shipment"
"An error occurred while updating the dimensions.","An error occurred while updating the dimensions."
"An error occurred while updating the offers.","An error occurred while updating the offers."
"An error occurred while updating the parcels.","An error occurred while updating the parcels."
"An error occurred while updating the quotes.","An error occurred while updating the quotes."
"An error occurred while updating the services.","An error occurred while updating the services."
"An error occurred while updating the shipments.","An error occurred while updating the shipments."
"Are you sure?","Are you sure?"
"Base price (in cents)","Base price (in cents)"
"CSV","CSV"
"Change Active","Change Active"
"Change Flatrate pricing","Change Flatrate pricing"
"Change Pickup supported","Change Pickup supported"
"Change Pickup","Change Pickup"
"Change Quote","Change Quote"
"Change Relay delivery supported","Change Relay delivery supported"
"Change Relay","Change Relay"
"Change Shipment","Change Shipment"
"Change status","Change status"
"Code","Code"
"Content description","Content description"
"Could not find dimension to delete.","Could not find dimension to delete."
"Could not find offer to delete.","Could not find offer to delete."
"Could not find parcel to delete.","Could not find parcel to delete."
"Could not find quote to delete.","Could not find quote to delete."
"Could not find service to delete.","Could not find service to delete."
"Could not find shipment to delete.","Could not find shipment to delete."
"Country of origin","Country of origin"
"Created at","Created at"
"Customer reference","Customer reference"
"Date of booking","Date of booking"
"Declared value (in cents)","Declared value (in cents)"
"Delete Dimension","Delete Dimension"
"Delete Offer","Delete Offer"
"Delete Parcel","Delete Parcel"
"Delete Quote","Delete Quote"
"Delete Service","Delete Service"
"Delete Shipment","Delete Shipment"
"Delete","Delete"
"Dimension was saved","Dimension was saved"
"Dimension was successfully deleted.","Dimension was successfully deleted."
"Dimension was successfully saved","Dimension was successfully saved"
"Dimension","Dimension"
"Dimensions","Dimensions"
"Disabled","Disabled"
"Display name","Display name"
"Edit Dimension '%s'","Edit Dimension '%s'"
"Edit Offer '%s'","Edit Offer '%s'"
"Edit Parcel '%s'","Edit Parcel '%s'"
"Edit Quote '%s'","Edit Quote '%s'"
"Edit Service '%s'","Edit Service '%s'"
"Edit Shipment '%s'","Edit Shipment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving dimension","Error saving dimension"
"Error saving offer","Error saving offer"
"Error saving parcel","Error saving parcel"
"Error saving quote","Error saving quote"
"Error saving service","Error saving service"
"Error saving shipment","Error saving shipment"
"Excel","Excel"
"Exclude the specified countries/postcodes, in the form 'FR-94 | FR-75020', one rule per line.","Exclude the specified countries/postcodes, in the form 'FR-94 | FR-75020', one rule per line."
"Excluded countries/postcodes","Excluded countries/postcodes"
"Flatrate pricing","Flatrate pricing"
"Height (cm)","Height (cm)"
"Home","Home"
"Id","Id"
"Length (cm)","Length (cm)"
"Limit by country/postcode","Limit by country/postcode"
"MFB product code","MFB product code"
"Name","Name"
"No","No"
"None","None"
"Offer was saved","Offer was saved"
"Offer was successfully deleted.","Offer was successfully deleted."
"Offer was successfully saved","Offer was successfully saved"
"Offer","Offer"
"Offers","Offers"
"Parcel was saved","Parcel was saved"
"Parcel was successfully deleted.","Parcel was successfully deleted."
"Parcel was successfully saved","Parcel was successfully saved"
"Parcel","Parcel"
"Parcels","Parcels"
"Pickup date","Pickup date"
"Pickup supported","Pickup supported"
"Pickup","Pickup"
"Please select dimensions to delete.","Please select dimensions to delete."
"Please select dimensions.","Please select dimensions."
"Please select offers to delete.","Please select offers to delete."
"Please select offers.","Please select offers."
"Please select parcels to delete.","Please select parcels to delete."
"Please select parcels.","Please select parcels."
"Please select quotes to delete.","Please select quotes to delete."
"Please select quotes.","Please select quotes."
"Please select services to delete.","Please select services to delete."
"Please select services.","Please select services."
"Please select shipments to delete.","Please select shipments to delete."
"Please select shipments.","Please select shipments."
"Position","Position"
"Price curency","Price curency"
"Quote was saved","Quote was saved"
"Quote was successfully deleted.","Quote was successfully deleted."
"Quote was successfully saved","Quote was successfully saved"
"Quote","Quote"
"Quotes","Quotes"
"Receiver address","Receiver address"
"Receiver city","Receiver city"
"Receiver company","Receiver company"
"Receiver country","Receiver country"
"Receiver email","Receiver email"
"Receiver name","Receiver name"
"Receiver phone","Receiver phone"
"Receiver postal code","Receiver postal code"
"Receiver reference","Receiver reference"
"Receiver state","Receiver state"
"Relay delivery address","Relay delivery address"
"Relay delivery code","Relay delivery code"
"Relay delivery supported","Relay delivery supported"
"Relay","Relay"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Dimension","Save Dimension"
"Save Offer","Save Offer"
"Save Parcel","Save Parcel"
"Save Quote","Save Quote"
"Save Service","Save Service"
"Save Shipment","Save Shipment"
"Service description","Service description"
"Service was saved","Service was saved"
"Service was successfully deleted.","Service was successfully deleted."
"Service was successfully saved","Service was successfully saved"
"Service","Service"
"Services","Services"
"Shipment was saved","Shipment was saved"
"Shipment was successfully deleted.","Shipment was successfully deleted."
"Shipment was successfully saved","Shipment was successfully saved"
"Shipment","Shipment"
"Shipments","Shipments"
"Shipper address","Shipper address"
"Shipper city","Shipper city"
"Shipper company","Shipper company"
"Shipper country","Shipper country"
"Shipper email","Shipper email"
"Shipper name","Shipper name"
"Shipper phone","Shipper phone"
"Shipper postal code","Shipper postal code"
"Shipper reference","Shipper reference"
"Shipper state","Shipper state"
"Status","Status"
"Store views","Store views"
"The dimensions has been deleted.","The dimensions has been deleted."
"The offers has been deleted.","The offers has been deleted."
"The parcels has been deleted.","The parcels has been deleted."
"The quotes has been deleted.","The quotes has been deleted."
"The services has been deleted.","The services has been deleted."
"The shipments has been deleted.","The shipments has been deleted."
"There was a problem saving the dimension.","There was a problem saving the dimension."
"There was a problem saving the offer.","There was a problem saving the offer."
"There was a problem saving the parcel.","There was a problem saving the parcel."
"There was a problem saving the quote.","There was a problem saving the quote."
"There was a problem saving the service.","There was a problem saving the service."
"There was a problem saving the shipment.","There was a problem saving the shipment."
"There was an error deleting dimension.","There was an error deleting dimension."
"There was an error deleting dimensions.","There was an error deleting dimensions."
"There was an error deleting offer.","There was an error deleting offer."
"There was an error deleting offers.","There was an error deleting offers."
"There was an error deleting parcel.","There was an error deleting parcel."
"There was an error deleting parcels.","There was an error deleting parcels."
"There was an error deleting quote.","There was an error deleting quote."
"There was an error deleting quotes.","There was an error deleting quotes."
"There was an error deleting service.","There was an error deleting service."
"There was an error deleting services.","There was an error deleting services."
"There was an error deleting shipment.","There was an error deleting shipment."
"There was an error deleting shipments.","There was an error deleting shipments."
"There was an error updating dimensions.","There was an error updating dimensions."
"There was an error updating offers.","There was an error updating offers."
"There was an error updating parcels.","There was an error updating parcels."
"There was an error updating quotes.","There was an error updating quotes."
"There was an error updating services.","There was an error updating services."
"There was an error updating shipments.","There was an error updating shipments."
"This dimension no longer exists.","This dimension no longer exists."
"This offer no longer exists.","This offer no longer exists."
"This parcel no longer exists.","This parcel no longer exists."
"This quote no longer exists.","This quote no longer exists."
"This service no longer exists.","This service no longer exists."
"This shipment no longer exists.","This shipment no longer exists."
"Total of %d dimensions were successfully deleted.","Total of %d dimensions were successfully deleted."
"Total of %d dimensions were successfully updated.","Total of %d dimensions were successfully updated."
"Total of %d offers were successfully deleted.","Total of %d offers were successfully deleted."
